round,model,rmse,mae
1,Linear,1.210588396702239,1.0590914680584873
2,Linear,1.0263877182678427,0.9013606264846816
3,Linear,0.8737267732952505,0.7697746721219094
4,Linear,0.7485911340588556,0.6614679171718487
5,Linear,0.6466326750484371,0.573221692615737
6,Linear,0.5640335165675646,0.5010822661522193
7,Linear,0.4977653333540834,0.4420044177026866
8,Linear,0.4454832732725927,0.3935873564234517
9,Linear,0.4052264688583682,0.3545094947142425
10,Linear,0.3751352969116313,0.3267108168983292
11,Linear,0.3533584289736601,0.3084106255185206
12,Linear,0.3381342859297987,0.2955891691894649
13,Linear,0.3278934471838708,0.2857523075254186
14,Linear,0.3213088020656642,0.278181023699328
15,Linear,0.3173085667782607,0.2723801540102816
16,Linear,0.3150685987345963,0.2710491893371086
17,Linear,0.3139858874674899,0.2733505643733985
18,Linear,0.3136381809869245,0.2754763450558659
19,Linear,0.313740268483678,0.2773654825972337
20,Linear,0.314104548391333,0.2790136102501873
21,Linear,0.3146102370192998,0.2805109309893501
22,Linear,0.3151805686696201,0.2817982566953753
23,Linear,0.3157675370377814,0.2829531338098598
24,Linear,0.3163415742083902,0.2839836558762459
25,Linear,0.3168852374302211,0.2848981841220168
1,MLP,0.3827365806932406,0.3370123452953797
2,MLP,0.3807680896148873,0.3391768959316512
3,MLP,0.3817334029413237,0.3423560390311091
4,MLP,0.3795269160050424,0.3422222892984564
5,MLP,0.3748508445011349,0.3395945377687159
6,MLP,0.3688479594107889,0.3356219481264351
7,MLP,0.3625788808286984,0.330842944565892
8,MLP,0.358910146593996,0.3282995756800648
9,MLP,0.3467420022745858,0.3175771053756058
10,MLP,0.3347301694033917,0.3067246982156706
11,MLP,0.3254336844502529,0.2980582955406294
12,MLP,0.3153450063363896,0.2882500976219328
13,MLP,0.306943215571745,0.2792947139388019
14,MLP,0.2965541125993253,0.2678230828581041
15,MLP,0.2911753436939994,0.2607651893409568
16,MLP,0.2863609753211167,0.2535407498662207
17,MLP,0.2844316946414161,0.2513494414845334
18,MLP,0.2861798409556922,0.2530927824900733
19,MLP,0.2847083182559831,0.2515964597882621
20,MLP,0.2884078056568598,0.2549976242185686
21,MLP,0.2906509725707939,0.2561429391872066
22,MLP,0.2951162283217234,0.2595400403798779
23,MLP,0.296536504781312,0.2589862474186349
24,MLP,0.3000003251351191,0.2609847474234384
25,MLP,0.3032771327579571,0.2626534976418701
1,Residual,0.4961068312702767,0.4361839194394163
2,Residual,0.537649749053075,0.4798290596224092
3,Residual,0.512204750783226,0.459782738546286
4,Residual,0.4823757224069466,0.4340369025202752
5,Residual,0.4572880280800712,0.4107931994019577
6,Residual,0.4350762978305355,0.39038390334964
7,Residual,0.4174695274879598,0.3740213539038894
8,Residual,0.4014780861481006,0.3586547728529713
