algorithm,model,round,rmse,mae,r2
FedAvg,Linear,1,0.8592224768203317,0.6428789130832693,-162215.5421127963
FedAvg,Linear,2,0.8393991500907845,0.6272074249695809,-148841.81300429092
FedAvg,Linear,3,0.8199069559929643,0.611774362662974,-136407.1766546749
FedAvg,Linear,4,0.8007688529642438,0.596726551521013,-124867.78977413882
FedAvg,Linear,5,0.7820101193212528,0.582046744484055,-114185.9753006062
FedAvg,Linear,6,0.7637036224968313,0.567940188784591,-104720.2683661114
FedAvg,Linear,7,0.7457786054509513,0.5543700059604142,-95984.87695226686
FedAvg,Linear,8,0.728220594069928,0.5412417019607731,-87949.83081507892
FedAvg,Linear,9,0.7110798968259819,0.528500844755575,-80579.77028088829
FedAvg,Linear,10,0.6943419704765919,0.5162613084425197,-73849.19520205479
FedAvg,Linear,11,0.6779909536916507,0.5042728993825627,-67716.44596837317
FedAvg,Linear,12,0.6621325741501525,0.4927920962574192,-62330.31852641047
FedAvg,Linear,13,0.6467700672560398,0.4818659371881367,-57793.43550490663
FedAvg,Linear,14,0.6318911160017975,0.4713861177591951,-53682.75522279656
FedAvg,Linear,15,0.6174708056388302,0.4612185899528342,-49967.7901109786
FedAvg,Linear,16,0.6036125681548214,0.4515692164797355,-46625.012121807296
FedAvg,Linear,17,0.5902373752169777,0.4422513528060829,-43619.19628828481
FedAvg,Linear,18,0.5773707784899204,0.433326443699835,-40911.519518827095
FedAvg,Linear,19,0.5650132432347403,0.4249177792474549,-38477.60550971945
FedAvg,Linear,20,0.5531752839009023,0.4169873616712164,-36293.73720243819
FedAvg,Linear,21,0.5419186858712174,0.4094755215102214,-34340.85500550228
FedAvg,Linear,22,0.531264673066401,0.4023240834003173,-32601.629839550213
FedAvg,Linear,23,0.5210873147613713,0.3954933481601922,-31058.200172635497
FedAvg,Linear,24,0.5115414204256945,0.3890428047607569,-29693.421205654715
FedAvg,Linear,25,0.5026039576373766,0.3829934649653929,-28480.343895414386
FedAvg,MLP,1,0.388449847157381,0.3605123643611144,-1045.408749920622
FedAvg,MLP,2,0.3871307688680916,0.3432756125507958,-21932.189647744955
FedAvg,MLP,3,0.4094004768210599,0.3565209191063376,-43785.61997413971
FedAvg,MLP,4,0.4231922785907684,0.368295608117836,-53017.48700899483
FedAvg,MLP,5,0.4300567559738587,0.3754264085123115,-58138.98743398831
FedAvg,MLP,6,0.4330996142455474,0.379210110865075,-61642.212538142616
